romaji,kanji,meaning
mittsu,三つ,three 3
kudamono,果物,fruit
konshuu,今週,this week
migi,右,right
amai,甘い,sweet sugary
ban,晩,night evening
ikutsu,いくつ,how many how old
kaidan,階段,stairs staircase stairway
oozei,大勢,in large numbers crowd of people
haru,貼る 張る,to paste
yuugata,夕方,evening dusk
hikui,低い,low short
hidari,左,left
maishuu,毎週,every week
heta,下手,clumsy unskillful poor awkward
sen,千,thousand 1000
watasu,渡す,to ferry across
gozen,午前,am morning
benri,便利,convenient handy useful
marui,丸い,round circular spherical
kongetsu,今月,this month
abiru,浴びる,to shower to be flooded with
han,半,half
youfuku,洋服,western style clothes
toru,撮る,to take a photo or video
shimeru,締める,to tie to wear
bunshou,文章,writing composition essay article sentence
usui,薄い,thin objection pale light faint
yoko,横,horizontal lying down
yottsu,四つ,four 4
hachi,八,eight 8
roku,六,six 6
joubu,丈夫,healthy robust strong solid
maiban,毎晩,every night
higashi,東,east
itsutsu,五つ,five 5
hare,晴れ,sunny
hosoi,細い,thin slender fine
rouka,廊下,corridor hallway passageway
futoi,太い,fat thick
tate,縦,vertical height
ryuugakusei,留学生,overseas student exchange student
kokonotsu,九つ,nine 9
nanatsu,七つ,seven 7
ototoshi,一昨年,year before last
hito,人,person someeone
iru,いる,to be to exist to stay
sore,それ,that
mono,物,thing object article
ie,家,house family household
hon,本,book volume
totemo,とても,very awfully exceedingly
au,会う,to meet encounter
suki,好き,liked like
wakaru,分かる,to understand comprehend
kiku,聞く,to listen hear
tokoro,所,place spot scene
itsumo,いつも,always all the time
kaku,書く,to write
takusan,たくさん,a lot plenty many
hairu,入る,to enter go into
oku,置く,to put place
doko,どこ,where what place
sumu,住む,to live reside
taberu,食べる,to eat
aruku,歩く,to walk
hataraku,働く,to work labor
tsuku,着く,to arrive reach
ue,上,on above up over
warui,悪い,bad poor evil
oshieru,教える,to teach instruct
furu,降る,to fall (rain snow ash)
shinu,死ぬ,to die pass away
kaeru,帰る,to return come home go back
wasureru,忘れる,to forget
ooi,多い,many a lot
dekakeru,出かける,to go out
wakai,若い,young youthful
kakaru,掛かる,to take a resource
onaji,同じ,same identical equal
okiru,起きる,to get up
suwaru,座る,to sit
mise,店,shop store
ireru,入れる,to put in
chotto,ちょっと,a little a bit slightly just a minute
tsukareru,疲れる,to get tired become exhausted
akeru,開ける,to open
naze,なぜ,how why
ichinichi,一日,one day all day
samui,寒い,cold
miseru,見せる,to show display
chigau,違う,different to differ from to vary
doushite,どうして,how in what way why for what reason
tsukeru,付ける,to attach to join to add
oboeru,覚える,to memorize learn
kaze,風,wind breeze
chikaku,近く,near vicinity
komaru,困る,to be troubled to have difficulty
umareru,生まれる,to be born
choudo,ちょうど,exactly precisely
hajimete,初めて,for the first time
hajimaru,始まる,to start begin
kasu,貸す,to rent lend loan
kirei,綺麗,pretty
sora,空,sky the air heavens
iku,弾く,to play a instrument
atsui,暑い,hot warm
asobu,遊ぶ,to play enjoy onself
shikashi,然し,however
nakusu,無くす,to lose
iroiro,色々,various all sorts of
wataru,渡る,to cross
kurai,暗い,dark gloomy
kochira,こちら,this way direction here
omoi,重い,heavy weighty
konban,今晩,this night tonight evening
oishii,美味しい,delicious tasty sweet
kesu,消す,to turn off erase delete
yasashii,優しい 易しい,kind easy plan simple
shimeru,閉める,to close shut
yasui,安い,cheap inexpensive
tooi,遠い,far distant
mijikai,短い,short
magaru,曲がる,to turn bend curve
kieru,消える,to disappear vanish go out
hareru,晴れる,to clear up be sunny stop raining
tsumetai,冷たい,cold chilly icy freezing
aoi,青い,blue
pe-ji,ページ,page
fuku,吹く,to blow
okusan,奥さん,wife
hiku,引く,to pull tug draw
dandan,段々,gradually little by little more and more
narau,習う,to learn study take lessons in
semai,狭い,narrow confined
karui,軽い,light effortless nimble
nugu,脱ぐ,to take off undress
man,万,ten thousand 10000
urusai,煩い,noisy loud
narabu,並ぶ,to line up rival match
suu,吸う,to inhale smoke
tsumaranai,つまらない,dull uninteresting boring
shimaru,閉まる,to close be shut closed
saku,咲く,to bloom flower blossom
massugu,まっすぐ,straight ahead direct upright
ichi,一,one 1
obaasan,お祖母さん,grandmother grandma
suzushii,涼しい,cool refreshing
sochira,そちら,that way direction there
atsui,厚い,thick deep heavy
oniisan,お兄さん,older big brother
oneesan,お姉さん,older big sister
naraberu,並べる,to line to set up
kitanai,汚い,dirty filthy foul
abunai,危ない,dangerous risky perilous
